År,BNP,Arbeidsledighet
2000-12-31,100.0,100.0
2001-12-31,103.3,102.9
2002-12-31,102.6,114.7
2003-12-31,105.9,132.4
2004-12-31,115.9,132.4
2005-12-31,128.5,135.3
2006-12-31,142.1,100.0
2007-12-31,149.1,73.5
2008-12-31,163.6,79.4
2009-12-31,150.4,97.1
2010-12-31,158.6,111.8
2011-12-31,168.8,100.0
2012-12-31,176.9,97.1
2013-12-31,181.0,111.8
2014-12-31,183.1,105.9
2015-12-31,179.5,132.4
2016-12-31,177.1,138.2
2017-12-31,187.4,123.5
2018-12-31,200.4,111.8
2019-12-31,200.2,108.8
2020-12-31,191.5,135.3
2021-12-31,237.9,129.4
2022-12-31,312.6,94.1
2023-12-31,275.0,105.9
2024-12-31,277.5,117.6
